Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,label_multiclass,label_binary
21.6,6,164.7,92.31154,0.0,0.0,0.0,0.2,0.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.0,0.1,0.0,1.0,1.0,2041.0,60.0,1023.0,204.1,294.2057,204.1,0.010943389,10.0,86556.99,Benign,0
29.6,6,101.2,59.34577,0.0,0.0,0.0,0.3,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1139.0,66.0,235.0,113.9,64.90754,113.9,0.0168504,10.0,4212.989,Benign,0
21.2,6,131.5,109.73218,0.0,0.0,0.0,0.2,0.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1053.0,60.0,156.0,105.3,43.59931,105.3,0.011483192,10.0,1900.9,Benign,0
27.2,6,72.5,71.67129,0.1,0.1,0.0,0.4,0.9,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1117.0,60.0,317.0,111.7,79.45236,111.7,0.014707995,10.0,6312.6777,Benign,0
25.6,6,57.5,74.36986,0.0,0.1,0.0,0.4,0.6,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1194.0,60.0,217.0,119.4,68.10645,119.4,0.0136244055,10.0,4638.489,Benign,0
33.2,6,87.6,7576.416,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20216.0,66.0,5650.0,2021.6,1883.0769,2021.6,0.0001406908,10.0,3545978.5,Benign,0
32.0,6,214.3,930.33093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3556.0,66.0,2962.0,355.6,915.7956,355.6,0.0015883923,10.0,838681.6,Benign,0
22.4,6,63.6,67.99574,0.0,0.0,0.0,0.2,0.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,5330.0,60.0,1514.0,533.0,679.25006,533.0,0.019753408,10.0,461380.66,Benign,0
18.4,6,88.6,41.560886,0.0,0.0,0.0,0.3,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.2,0.0,0.0,0.8,0.8,1382.0,60.0,230.0,138.2,70.037766,138.2,0.027516197,10.0,4905.289,Benign,0
6.4,17,44.4,134.1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.8,0.8,1800.0,60.0,220.0,180.0,63.94442,180.0,0.0074555874,10.0,4088.889,Benign,0
28.0,6,159.4,87.48522,0.0,0.1,0.0,0.3,0.7,0.0,0.0,7.0,1.0,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,6237.0,66.0,3679.0,623.7,1162.814,623.7,0.011703205,10.0,1352136.2,Benign,0
32.0,6,114.4,304.5906,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12244.0,66.0,2962.0,1224.4,915.7956,1224.4,0.0033258914,10.0,838681.6,Benign,0
29.6,6,78.3,51.59109,0.0,0.0,0.0,0.4,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1089.0,66.0,215.0,108.9,62.25655,108.9,0.020473694,10.0,3875.8777,Benign,0
32.0,6,214.3,4606.0884,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,750.0,66.0,156.0,75.0,28.460499,75.0,0.0002681017,10.0,810.0,Benign,0
32.0,6,231.0,2755.6035,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660.0,66.0,66.0,66.0,0.0,66.0,0.0004361868,10.0,0.0,Benign,0
32.0,6,123.0,5002.1514,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660.0,66.0,66.0,66.0,0.0,66.0,0.00023641586,10.0,0.0,Benign,0
22.4,6,83.1,225.43355,0.0,0.0,0.0,0.0,0.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,9478.0,60.0,1514.0,947.8,732.3117,947.8,0.005694413,10.0,536280.4,Benign,0
48.8,6,87.6,14004.354,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9204.0,94.0,2858.0,920.4,1163.943,920.4,7.9011916e-05,10.0,1354763.4,Benign,0
12.8,17,95.9,23.999804,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.1,0.1,0.0,0.9,0.9,1521.0,60.0,339.0,152.1,95.546906,152.1,0.04186661,10.0,9129.211,Benign,0
32.0,6,214.3,742.3284,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,766.0,66.0,172.0,76.6,33.52014,76.6,0.0018718957,10.0,1123.6,Benign,0
20.8,6,99.3,196.69498,0.0,0.1,0.0,0.1,0.5,0.0,0.0,5.0,1.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,6635.0,60.0,2962.0,663.5,1002.1192,663.5,0.00518291,10.0,1004242.94,Benign,0
15.6,17,110.3,62.12532,0.0,0.0,0.0,0.2,0.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.1,0.0,0.0,0.9,0.9,1812.0,60.0,1225.0,181.2,366.82053,181.2,0.019926405,10.0,134557.28,Benign,0
18.4,6,89.5,74.713234,0.0,0.0,0.0,0.3,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.2,0.0,1.0,1.0,1503.0,66.0,262.0,150.3,75.8259,150.3,0.014036799,10.0,5749.567,Benign,0
32.0,6,63.6,3164.5571,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13692.0,66.0,1514.0,1369.2,457.8978,1369.2,0.0020386935,10.0,209670.4,Benign,0
29.6,6,197.6,100.27264,0.0,0.0,0.0,0.1,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,767.0,66.0,156.0,76.7,28.37076,76.7,0.010058403,10.0,804.9,Benign,0
32.0,6,232.0,1747.6267,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660.0,66.0,66.0,66.0,0.0,66.0,0.0034914971,10.0,0.0,Benign,0
32.0,6,114.1,492.8561,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10873.0,66.0,1591.0,1087.3,705.1644,1087.3,0.0020735979,10.0,497256.9,Benign,0
24.0,6,116.9,54.54586,0.0,0.0,0.0,0.2,0.7,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.1,0.0,1.0,1.0,1168.0,66.0,214.0,116.8,62.561615,116.8,0.020901013,10.0,3913.9556,Benign,0
30.8,6,219.1,304.50656,0.0,0.0,0.0,0.3,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,9245.0,66.0,2922.0,924.5,1378.4111,924.5,0.003315997,10.0,1900017.1,Benign,0
28.4,6,73.7,87.04368,0.0,0.0,0.0,0.2,0.8,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,850.0,66.0,156.0,85.0,28.585155,85.0,0.0114887,10.0,817.1111,Benign,0
46.8,6,81.7,14513.163,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9184.0,78.0,4254.0,918.4,1491.4994,918.4,9.138584e-05,10.0,2224570.5,Benign,0
32.0,6,114.1,1276.6494,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12244.0,66.0,2962.0,1224.4,915.7956,1224.4,0.0008424997,10.0,838681.6,Benign,0
20.8,6,63.6,121.78795,0.0,0.1,0.0,0.1,0.4,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,8852.0,60.0,3936.0,885.2,1443.3671,885.2,0.008402395,10.0,2083308.6,Benign,0
14.0,17,99.4,119.474396,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1635.0,60.0,357.0,163.5,111.49315,163.5,0.008975792,10.0,12430.723,Benign,0
29.6,6,62.6,2913.723,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,15134.0,60.0,2962.0,1513.4,684.00916,1513.4,0.00042891502,10.0,467868.5,Benign,0
32.0,6,79.3,43.293762,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2938.0,66.0,1474.0,293.8,470.11603,293.8,0.023226405,10.0,221009.06,Benign,0
32.0,6,232.0,38479.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660.0,66.0,66.0,66.0,0.0,66.0,2.6106834e-05,10.0,0.0,Benign,0
19.2,17,62.4,104.391754,0.0,0.2,0.0,0.1,0.2,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,887.0,66.0,156.0,88.7,25.148668,88.7,0.010452008,10.0,632.45557,Benign,0
29.6,6,199.5,204.94711,0.0,0.0,0.0,0.1,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1713.0,66.0,971.0,171.3,284.8095,171.3,0.004972911,10.0,81116.45,Benign,0
29.6,6,71.5,86.46552,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1010.0,62.0,176.0,101.0,44.92463,101.0,0.014926505,10.0,2018.2222,Benign,0
17.6,17,82.7,196.13208,0.0,0.0,0.0,0.2,0.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1049.0,60.0,230.0,104.9,63.540802,104.9,0.006191206,10.0,4037.4333,Benign,0
32.0,6,197.6,1011.72394,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6452.0,66.0,4410.0,645.2,1398.9009,645.2,0.0010420084,10.0,1956923.8,Benign,0
30.4,6,99.5,40.093525,0.0,0.1,0.0,0.4,0.8,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1148.0,66.0,230.0,114.8,57.311623,114.8,0.0261127,10.0,3284.6223,Benign,0
27.2,6,202.5,44.28052,0.0,0.0,0.0,0.1,0.8,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1062.0,66.0,230.0,106.2,67.280174,106.2,0.022623897,10.0,4526.622,Benign,0
19.2,6,111.6,107.616066,0.0,0.1,0.0,0.1,0.5,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.2,0.0,0.0,0.8,0.8,1553.0,60.0,390.0,155.3,134.17572,155.3,0.0100703,10.0,18003.123,Benign,0
29.2,6,132.8,87.61644,0.0,0.1,0.0,0.3,0.9,0.0,0.0,9.0,1.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1775.0,60.0,1006.0,177.5,293.5292,177.5,0.011439299,10.0,86159.39,Benign,0
44.0,6,87.6,12818.777,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7760.0,78.0,2858.0,776.0,977.7239,776.0,8.5806845e-05,10.0,955944.0,Benign,0
32.0,6,63.6,104.9384,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12835.0,66.0,2962.0,1283.5,842.64386,1283.5,0.009656906,10.0,710048.75,Benign,0
24.0,6,159.7,186.76213,0.0,0.0,0.0,0.1,0.7,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.1,0.1,0.0,0.0,0.9,0.9,1186.0,60.0,344.0,118.6,96.98132,118.6,0.006618881,10.0,9405.378,Benign,0
32.0,6,214.3,703.8722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2108.0,66.0,1514.0,210.8,457.8978,210.8,0.0014631033,10.0,209670.4,Benign,0
23.6,6,115.5,101.40869,0.0,0.1,0.0,0.1,0.7,0.0,0.0,7.0,1.0,0.0,0.0,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.9,0.9,1145.0,60.0,246.0,114.5,79.53651,114.5,0.0144573925,10.0,6326.0557,Benign,0
29.6,6,118.0,141.50488,0.0,0.0,0.0,0.4,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2340.0,66.0,773.0,234.0,265.2324,234.0,0.007070899,10.0,70348.22,Benign,0
31.2,6,58.6,72.95964,0.2,0.2,0.0,0.2,0.8,0.0,0.0,8.0,2.0,2.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,4345.0,66.0,1908.0,434.5,689.0021,434.5,0.013756203,10.0,474723.84,Benign,0
32.0,6,164.2,1437.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6452.0,66.0,1514.0,645.2,747.74396,645.2,0.0010056018,10.0,559121.06,Benign,0
32.0,6,130.4,94.39126,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6202.0,66.0,1514.0,620.2,701.61444,620.2,0.010848117,10.0,492262.84,Benign,0
24.0,6,141.2,217.07063,0.0,0.0,0.0,0.1,0.7,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.9,0.9,2005.0,60.0,1429.0,200.5,431.66016,200.5,0.0046694996,10.0,186330.5,Benign,0
9.6,0,82.0,14.685795,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.2,0.4,0.1,0.4,0.0,0.0,0.6,0.6,1453.0,60.0,344.0,145.3,100.11777,145.3,0.072273016,10.0,10023.566,Benign,0
32.0,6,147.6,390.16782,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6452.0,66.0,1514.0,645.2,747.74396,645.2,0.0025629997,10.0,559121.06,Benign,0
26.4,6,76.3,235.77148,0.0,0.0,0.0,0.1,0.8,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,10965.0,60.0,1514.0,1096.5,673.6863,1096.5,0.0055545093,10.0,453853.16,Benign,0
28.4,6,97.1,94.99283,0.1,0.0,0.0,0.2,0.8,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1085.0,66.0,230.0,108.5,66.858475,108.5,0.012522387,10.0,4470.0557,Benign,0
17.2,6,95.4,59.437523,0.0,0.0,0.0,0.4,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.2,0.0,0.0,0.8,0.8,1318.0,60.0,230.0,131.8,62.799152,131.8,0.016870808,10.0,3943.7334,Benign,0
27.2,6,152.3,411.36758,0.0,0.0,0.0,0.1,0.8,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,7277.0,60.0,2962.0,727.7,1088.7379,727.7,0.0024407147,10.0,1185350.2,Benign,0
27.2,6,60.3,134.96924,0.0,0.1,0.0,0.0,0.9,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,25518.0,60.0,13098.0,2551.8,4305.2075,2551.8,0.007409811,10.0,18534812.0,Benign,0
28.4,6,80.0,59.813953,0.0,0.0,0.0,0.4,0.8,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1169.0,66.0,217.0,116.9,60.71326,116.9,0.016718602,10.0,3686.1,Benign,0
19.2,6,154.6,82.62766,0.0,0.0,0.0,0.2,0.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.0,0.1,0.0,1.0,1.0,1137.0,60.0,230.0,113.7,63.76354,113.7,0.012322282,10.0,4065.7888,Benign,0
29.6,6,131.0,244.64143,0.0,0.0,0.0,0.1,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,5389.0,66.0,1514.0,538.9,678.466,538.9,0.0050693033,10.0,460316.1,Benign,0
14.4,6,57.1,354.2696,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.1,0.3,0.1,0.0,0.7,0.7,4893.0,60.0,3692.0,489.3,1131.5879,489.3,0.0033565045,10.0,1280491.1,Benign,0
27.2,6,122.8,92.9006,0.0,0.0,0.0,0.0,0.8,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,16798.0,66.0,8754.0,1679.8,2669.6604,1679.8,0.01148889,10.0,7127086.5,Benign,0
29.6,6,200.4,144.62817,0.0,0.0,0.0,0.1,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,5214.0,66.0,2962.0,521.4,968.3113,521.4,0.0069568874,10.0,937626.7,Benign,0
32.8,6,98.7,696.4274,0.0,0.1,0.0,0.1,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13790.0,66.0,4410.0,1379.0,1256.9379,1379.0,0.0014467001,10.0,1579892.6,Benign,0
